status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
644788602367701_684083668438194,Quem aqui vai pular carnaval?,Você vai pular Carnaval?,video,https://www.facebook.com/joaopamg/videos/684083668438194/,2017-02-25 19:56:19,33,6,0,22,5,0,6,0,0
644788602367701_684083351771559,,João Pamg's cover photo,photo,https://www.facebook.com/joaopamg/photos/a.644823275697567.1073741827.644788602367701/684083351771559/?type=3,2017-02-25 19:53:53,49,12,0,38,6,4,1,0,0
644788602367701_678354735677754,Então quem foi?,,video,https://www.facebook.com/joaopamg/videos/678354735677754/,2017-02-14 07:54:28,21,4,3,13,5,0,3,0,0
644788602367701_674867469359814,Fiz um vídeo mostrando meu material escolar. Espero que gostem!,MEU MATERIAL ESCOLAR 2017 - João Pamg,video,https://www.youtube.com/watch?v=Y4JbFBO1Ai0,2017-02-07 08:31:46,26,1,1,17,7,0,2,0,0
644788602367701_657489254430969,Eu gosto mesmo é de comer,,video,https://www.facebook.com/joaopamg/videos/657489254430969/,2017-01-04 10:25:40,33,3,1,18,11,0,4,0,0
644788602367701_657140347799193,"Como vocês sempre me perguntam, resolvi dar algumas dicas de como conseguir mais seguidores no Musical.ly. Espero que gostem!",COMO GANHAR FÃS NO MUSICAL.LY,video,https://www.youtube.com/watch?v=dtYGdrQc5OU&t=82s,2017-01-03 14:58:03,31,7,0,26,5,0,0,0,0
644788602367701_657020577811170,"Pessoal do Musical.ly, criei um grupo de fãs no Telegram! Quem quiser entrar, baixe o aplicativo e me avise!",,status,,2017-01-03 09:09:40,18,4,0,16,2,0,0,0,0
644788602367701_654667851379776,,João Pamg,photo,https://www.facebook.com/joaopamg/photos/a.644796112366950.1073741825.644788602367701/654667851379776/?type=3,2016-12-29 10:01:42,57,6,0,44,11,2,0,0,0
644788602367701_652487334931161,"NATAL 10% (Paródia Maiara & Maraisa)
Se você gostou, compartilhe por favor! Feliz natal pra todo mundo =D",NATAL DOS PARENTO - Paródia Maiara & Maraisa - 10%,video,https://www.youtube.com/watch?v=AJxxgCBvh5U,2016-12-24 15:00:36,23,2,0,18,5,0,0,0,0
644788602367701_651590101687551,Alguns dos fãs que conheci no #EncontroMusersBR! Obrigado a todos vocês pelo carinho e por me mandarem a foto! ❤️,Photos from João Pamg's post,photo,https://www.facebook.com/joaopamg/photos/a.651590108354217.1073741829.644788602367701/651589638354264/?type=3,2016-12-22 14:40:01,25,1,1,18,6,1,0,0,0
